"","matrix(sp_nm, dim(mySpeciesOcc)[1], 1)","pa","X","Y"
"7465","Akiapolauu",1,-155.3290882,19.52625419
"7469","Akiapolauu",1,-155.3317233,19.7188655
"7472","Akiapolauu",1,-155.3291084,19.53895197
"7478","Akiapolauu",1,-155.3289995,19.53534085
"7481","Akiapolauu",1,-155.3289202,19.53579343
"7486","Akiapolauu",1,-155.32887,19.54357908
"7487","Akiapolauu",1,-155.3284505,19.51764651
"7488","Akiapolauu",1,-155.3284634,19.51854948
"7489","Akiapolauu",1,-155.3284762,19.51944342
"7490","Akiapolauu",1,-155.328428,19.51674367
"7491","Akiapolauu",1,-155.3284056,19.51584082
"7496","Akiapolauu",1,-155.3284515,19.53034456
"7499","Akiapolauu",1,-155.3280712,19.51643217
"7510","Akiapolauu",1,-155.3277727,19.52618083
"7511","Akiapolauu",1,-155.3304932,19.71887247
"7515","Akiapolauu",1,-155.3279931,19.55085157
"7516","Akiapolauu",1,-155.3275111,19.51856174
"7517","Akiapolauu",1,-155.3275239,19.51945568
"7519","Akiapolauu",1,-155.3274757,19.51675593
"7520","Akiapolauu",1,-155.3279734,19.55213427
"7522","Akiapolauu",1,-155.3280102,19.55602629
"7523","Akiapolauu",1,-155.3279627,19.55338073
"7525","Akiapolauu",1,-155.3279533,19.55471748
"7527","Akiapolauu",1,-155.3275779,19.53585589
"7529","Akiapolauu",1,-155.3275085,19.54363276
"7533","Akiapolauu",1,-155.3268463,19.5033886
"7535","Akiapolauu",1,-155.3269888,19.5160126
"7541","Akiapolauu",1,-155.3271516,19.53535563
"7546","Akiapolauu",1,-155.3271654,19.53897702
"7548","Akiapolauu",1,-155.3269745,19.5303094
"7551","Akiapolauu",1,-155.326694,19.52003534
"7555","Akiapolauu",1,-155.3264682,19.51690437
"7556","Akiapolauu",1,-155.3265161,19.52623313
"7557","Akiapolauu",1,-155.3292725,19.71887931
"7562","Akiapolauu",1,-155.3300425,19.77979336
"7564","Akiapolauu",1,-155.3298834,19.77803437
"7565","Akiapolauu",1,-155.3298965,19.77893731
"7573","Akiapolauu",1,-155.326108,19.53564905
"7576","Akiapolauu",1,-155.3260715,19.54374159
"7582","Akiapolauu",1,-155.3260127,19.55359552
"7583","Akiapolauu",1,-155.3256598,19.53029923
"7587","Akiapolauu",1,-155.3252468,19.51674849
"7588","Akiapolauu",1,-155.329467,19.80973896
"7591","Akiapolauu",1,-155.3289192,19.77536469
"7596","Akiapolauu",1,-155.3291775,19.80492917
"7598","Akiapolauu",1,-155.3251282,19.52643163
"7601","Akiapolauu",1,-155.3253216,19.54259524
"7602","Akiapolauu",1,-155.3252088,19.53538968
"7606","Akiapolauu",1,-155.3245562,19.51507754
"7609","Akiapolauu",1,-155.3248717,19.54377511
"7611","Akiapolauu",1,-155.3246476,19.53611038
"7617","Akiapolauu",1,-155.3242248,19.53053445
"7623","Akiapolauu",1,-155.3275546,19.77534633
"7632","Akiapolauu",1,-155.3236136,19.51710365
"7633","Akiapolauu",1,-155.3237407,19.52665719
"7639","Akiapolauu",1,-155.3275317,19.80985452
"7647","Akiapolauu",1,-155.3232946,19.54407538
"7653","Akiapolauu",1,-155.3229666,19.53646617
"7656","Akiapolauu",1,-155.3228419,19.53041677
"7657","Akiapolauu",1,-155.3223938,19.50372579
"7668","Akiapolauu",1,-155.3221295,19.5172311
"7673","Akiapolauu",1,-155.3221609,19.52675879
"7679","Akiapolauu",1,-155.3256743,19.78711127
"7687","Akiapolauu",1,-155.3243713,19.71892488
"7689","Akiapolauu",1,-155.3256047,19.80989769
"7692","Akiapolauu",1,-155.3214698,19.53038924
"7693","Akiapolauu",1,-155.3215455,19.53634897
"7697","Akiapolauu",1,-155.3209001,19.50383528
"7701","Akiapolauu",1,-155.3208848,19.51744577
"7704","Akiapolauu",1,-155.3241654,19.74884785
"7706","Akiapolauu",1,-155.3208478,19.52685694
"7716","Akiapolauu",1,-155.3231508,19.7189407
"7719","Akiapolauu",1,-155.32409,19.79167454
"7726","Akiapolauu",1,-155.3201168,19.53036147
"7730","Akiapolauu",1,-155.3201288,19.53653877
